"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"40%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females_Repro,7.05405710306661e-282,1.6887862304768e-282,0,0,2.80849543647329e-287,7.19343930383074e-286,1.6404408927217e-282,0,1.73228928632606e-282,2.72669692373088e-287,0,0,0,0,1.63869137869414e-282
"70%",Females_Repro,4.47908958442627e-151,8.77721732155232e-152,1.14133364512585e-151,1.24854245792403e-150,7.91245950634719e-155,6.21416048754569e-155,8.52594955994786e-152,1.99766793267845e-151,5.02328754199618e-150,6.39372690534938e-155,0,0,0,1.14133364512585e-151,8.40678527039469e-152
"75%",Females_Repro,1.44880369756053e-102,2.86840521062211e-103,1.71282065204159e-104,1.27782053759607e-103,2.23965914548849e-107,1.16945069123627e-106,2.78629060296875e-103,2.04451286015372e-104,9.55688880065188e-103,1.98546265183435e-107,0,0,0,1.71282065204159e-104,2.77384765605086e-103
"80%",Females_Repro,1.66749726725051e-71,4.36554982014717e-72,1.02738518644991e-73,7.96175886574857e-73,1.05406311567415e-76,1.5170406317147e-75,4.24057605097916e-72,1.27388141851977e-73,4.45674129369189e-72,9.47105628127932e-77,0,0,0,9.98947115515128e-74,4.23590637929525e-72
"85%",Females_Repro,4.62164328868531e-47,1.23831124738088e-47,8.97901366375725e-50,8.57588051085368e-49,2.42958159887641e-52,4.17739222200793e-51,1.20286177815844e-47,1.37214088173659e-49,1.30601979156241e-47,2.23927573697664e-52,0,0,0,8.62302214476155e-50,1.19257956990998e-47
"90%",Females_Repro,1.57189882080344e-30,4.06891207662306e-31,9.49849555353422e-33,1.09268116403927e-31,1.03352394342417e-35,1.83594764883199e-34,3.95243023594356e-31,1.74828986246283e-32,4.74015007329036e-31,9.31709736407054e-36,0,0,0,6.78655948606596e-33,3.94896947769252e-31
"95%",Females_Repro,1.15260513682023e-13,2.87686339529671e-14,4.28563044487372e-16,4.95859655372168e-15,5.7319747221945e-19,9.87141320508699e-18,2.79450665291516e-14,7.93375448595469e-16,3.01205925466162e-14,5.10547925236737e-19,0,0,0,2.83531843514077e-16,2.79071547278266e-14
"97.5%",Females_Repro,1.06173089660548e-07,2.53800781278483e-08,3.427179050084e-10,2.21833834527786e-09,4.27606060306806e-13,8.8056897144505e-12,2.46535158032638e-08,3.54934135244458e-10,2.5316823516532e-08,3.50405583046305e-13,0,0,0,2.40157239560854e-10,2.46328590642504e-08
"99%",Females_Repro,0.00456520619661079,0.000930404018011993,8.24986944535345e-06,5.15535333666276e-05,1.92655959151081e-08,3.25406542467954e-07,0.000903769091881176,8.24856533866041e-06,0.000931674855519636,1.67143094236224e-08,0,0,0,4.92773614087202e-06,0.000903297745472201
"99.5%",Females_Repro,0.0485778980819005,0.0149267556597948,0.000159685924293452,0.000914564724993955,2.4738562595278e-07,5.46451647136837e-06,0.0144994434097672,0.000146330355999033,0.0157956142124218,1.76205526307896e-07,0,0,0,9.91785543534074e-05,0.0144926630970238
"mean",Females_Repro,0.0534393166445545,0.0119246021109263,0.0012106151030238,0.0186636358996952,4.5981608086662e-07,4.94651082865631e-06,0.0115832333182135,0.00298618174395124,0.0145743615729934,2.19618228758388e-07,9.57161417322835e-05,0,0.0118862054908286,5.50354550971702e-06,0.0115827109951205
"sd",Females_Repro,2.26184786347641,0.50201925826068,0.0590321390129647,0.92339979617016,2.1344231510881e-05,0.000210528923799031,0.487647817895889,0.147743967387226,0.63477377764213,9.51731779561791e-06,0.00425316136010334,0,0.528165213692107,0.000143917413306831,0.487647402680267
"0.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mean",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sd",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0.5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mean",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sd",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0.5%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Age_12_19,5.63656783934807e-185,1.71468689816869e-185,7.01227236416721e-187,6.72994850657604e-186,2.47829351738797e-189,4.88076538409574e-189,1.6656000950315e-185,1.07679176105217e-186,1.8394388812377e-184,2.35427055391934e-189,0,0,0,7.01227236416721e-187,1.66430572216078e-185
"75%",Age_12_19,3.10230577380844e-130,5.46292707671716e-131,1.80543109320333e-132,1.13876393029576e-131,1.14122339449101e-135,2.54558058764711e-134,5.30653839359721e-131,1.82202228847322e-132,5.49076125963634e-131,9.4854008096251e-136,0,0,0,1.80543109320333e-132,5.2997831412901e-131
"80%",Age_12_19,7.56584802134583e-86,1.23247273655829e-86,1.13553971367678e-88,9.19183321482867e-88,2.0366522875137e-91,6.00915147318923e-90,1.19719040795591e-86,1.47069331437259e-88,1.21249825624696e-86,1.8628016512138e-91,0,0,0,1.13553971367678e-88,1.19613544459174e-86
"85%",Age_12_19,3.12460071259257e-51,7.37644213396213e-52,5.11761763022028e-54,4.55959034404227e-53,1.91810246219966e-56,3.88815235803114e-55,7.16527474050426e-52,7.29534455046763e-54,7.24250947423469e-52,1.75046396854269e-56,0,0,0,5.11761763022028e-54,7.16089313874173e-52
"90%",Age_12_19,3.01493837524842e-33,7.31326120880888e-34,1.26377331918238e-35,8.66233554746919e-35,1.07898672953181e-38,5.95753457662025e-37,7.10390251269297e-34,1.38597368759507e-35,7.17082980284396e-34,1.00480514771604e-38,0,0,0,1.26377331918238e-35,7.09809324926881e-34
"95%",Age_12_19,2.77370300714092e-15,5.5894687681887e-16,3.8346895686756e-18,2.86786290821584e-17,1.00327438433924e-20,3.35294781065289e-19,5.42945754202341e-16,4.58858065314534e-18,5.46905120736748e-16,9.47793234194844e-21,0,0,0,3.8346895686756e-18,5.42256016033145e-16
"97.5%",Age_12_19,5.64199461795918e-07,1.71623963603114e-07,4.8851464517888e-09,2.73417964408149e-08,4.05681069198812e-12,7.40955031503004e-11,1.66710838224943e-07,4.37468743053038e-09,1.83566341405032e-07,3.68542152986564e-12,0,0,0,4.8851464517888e-09,1.66634814956466e-07
"99%",Age_12_19,0.00516272746220254,0.00106883791366458,2.30842234264113e-05,0.000172236613918448,2.20436217674812e-08,2.71743375729304e-07,0.00103824000315995,2.75578582269516e-05,0.00108882837206225,1.73329064041188e-08,0,0,0,2.30842234264113e-05,0.00103688959610375
"99.5%",Age_12_19,0.018253177716645,0.00524426785426209,7.33782253928917e-05,0.000499458122183,9.2876377521522e-08,2.54063626188051e-06,0.00509413878752939,7.991329954928e-05,0.00515240626804435,8.45130708614392e-08,0,0,0,7.33782253928917e-05,0.00508850127058954
"mean",Age_12_19,0.00263128329795138,0.000858771410539812,3.32278527545068e-06,3.08127564361655e-05,1.7544961252922e-08,2.95150610208593e-07,0.000834187130334468,4.93004102978648e-06,0.000839412321974463,1.65483618483843e-08,0,0,0,3.32278527545068e-06,0.000833662391866937
"sd",Age_12_19,0.0767090427368746,0.0257744215656569,8.16085379630416e-05,0.000820968021153402,5.32701518161713e-07,8.86435517269566e-06,0.0250365702653877,0.000131354883384544,0.0251765094954355,5.03962935307906e-07,0,0,0,8.16085379630416e-05,0.0250222092380691
"0.5%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Age_20_65,5.42946482855957e-282,1.3657774387861e-282,0,0,2.10775670396772e-287,4.85775069248894e-286,1.32667896061e-282,0,1.43738747142361e-282,2.046802961971e-287,0,0,0,0,1.32529776295985e-282
"70%",Age_20_65,2.07080870450403e-145,4.98123876192515e-146,4.38862659026586e-147,7.29127003709173e-146,6.29094241630844e-150,2.84526902164874e-149,4.83863949978167e-146,1.16660320593468e-146,3.02928668616465e-145,5.46457966882343e-150,0,0,0,4.32592205413651e-147,4.83542113879264e-146
"75%",Age_20_65,6.4731963464054e-100,1.55132410949545e-100,1.23206717942518e-101,1.15144631597942e-100,1.06175620246244e-104,4.75119994956022e-104,1.5069139368592e-100,1.84231410556708e-101,7.19826688347378e-100,8.50965662851277e-105,0,0,0,1.11644871040634e-101,1.50537674327147e-100
