"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"85%",Females_Repro,4.932408,1.257518,0.072536,0.820582,3.3528e-05,0.000488,1.221519,0.131293,1.350997,2.1714e-05,0.008852,0,12.913522,0.000826,1.221483
"90%",Females_Repro,6.515173,1.682601,0.102591,1.134021,4.4098e-05,0.000671,1.634433,0.181443,1.846409,2.8712e-05,0.011551,0,16.216447,0.001075,1.634308
"95%",Females_Repro,9.490191,2.422904,0.16141,1.786892,6.983e-05,0.000945,2.353543,0.285903,2.657083,4.3454e-05,0.016289,0,23.404549,0.001746,2.35332
"97.5%",Females_Repro,12.543607,3.356631,0.228051,2.777078,9.5148e-05,0.001328,3.26054,0.444332,3.588796,6.0061e-05,0.02277,0,31.515185,0.002672,3.260408
"99%",Females_Repro,19.294617,4.519192,0.334426,4.909384,0.000139408,0.00198,4.38982,0.785501,4.925028,8.2938e-05,0.034171,0,49.425679,0.004009,4.389494
"99.5%",Females_Repro,23.788046,6.024316,0.471847,6.032734,0.000179631,0.002809,5.851857,0.965237,6.35426,0.000108983,0.042489,0,60.221098,0.006603,5.851404
"mean",Females_Repro,2.7262731932503,0.688069652069104,0.0399378388911209,0.458976357171555,1.85251470470068e-05,0.000271813579750904,0.668372092406589,0.0734362229811169,0.74208012655685,1.20602298111691e-05,0.0047839722780233,0,7.06627577581358,0.000480972679791081,0.668310402973082
"sd",Females_Repro,4.86231405303088,1.24070259271923,0.0824261559158186,0.967931919275939,3.19977593484798e-05,0.000567236766116944,1.20518467326994,0.154869104591695,1.30143851616138,2.11937207172183e-05,0.00888252595509187,0,11.7904689347349,0.000943406499878048,1.20515038231017
"0.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Age_0_5,0.003155,0.000673,3e-06,1.6e-05,6.3e-08,0,0.000654,3e-06,0.000658,6e-08,0,0,0,3e-06,0.000654
"95%",Age_0_5,1.437342,0.401894,0.017612,0.12746,3.6747e-05,0.000137,0.390389,0.020394,0.419126,2.7586e-05,0.002513,0,3.861746,0.000223,0.390304
"97.5%",Age_0_5,3.021595,0.71409,0.032864,0.215835,7.0634e-05,0.000312,0.693647,0.034534,0.822505,4.679e-05,0.005106,0,7.551927,0.000468,0.693605
"99%",Age_0_5,4.685538,1.426239,0.071382,0.606374,0.000119716,0.000456,1.38541,0.09702,1.413443,0.000106373,0.008679,0,12.607818,0.001331,1.385402
"99.5%",Age_0_5,8.257458,2.116258,0.121699,0.857269,0.000199184,0.000608,2.055675,0.137163,2.380171,0.000165845,0.01511,0,18.858667,0.001883,2.055269
